TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2055-2059,5-9,FEMALE,5404
2075-2079,85+,MALE,78
2085-2089,50-54,FEMALE,-3784
2085-2089,60-64,MALE,1210
2045-2049,75-79,MALE,-1660
2040-2044,85+,MALE,76
2055-2059,70-74,FEMALE,-2052
2025-2029,5-9,FEMALE,1180
2080-2084,80-84,FEMALE,-2149
2065-2069,85+,FEMALE,275
2050-2054,40-44,FEMALE,7657
2085-2089,85+,FEMALE,233
2030-2034,10-14,MALE,6033
2030-2034,65-69,MALE,2460
2065-2069,25-29,FEMALE,17549
2095-2099,85+,MALE,483
2060-2064,35-39,MALE,25942
2045-2049,20-24,FEMALE,14488
2080-2084,85+,FEMALE,341
2075-2079,30-34,MALE,29106
2095-2099,85+,MALE,407
2065-2069,60-64,FEMALE,-4480
2030-2034,65-69,MALE,2247
2035-2039,65-69,MALE,1825
2050-2054,85+,FEMALE,-1105
2055-2059,20-24,FEMALE,11200
2070-2074,80-84,FEMALE,-2560
2035-2039,70-74,MALE,567
2030-2034,85+,FEMALE,208
2080-2084,50-54,FEMALE,-4278
2085-2089,0-4,FEMALE,4599
2030-2034,10-14,FEMALE,4318
2030-2034,50-54,MALE,2624
2025-2029,85+,MALE,22
2070-2074,0-4,MALE,5234
2070-2074,20-24,MALE,21250
2025-2029,20-24,MALE,16529
2035-2039,85+,FEMALE,388
2055-2059,25-29,MALE,27152
2080-2084,75-79,MALE,-4310
2045-2049,85+,MALE,218
2055-2059,85+,FEMALE,263
2035-2039,60-64,FEMALE,-1362
2025-2029,75-79,MALE,1004
2060-2064,85+,MALE,415
2070-2074,5-9,MALE,7514
2085-2089,0-4,MALE,7954
2095-2099,10-14,MALE,8835
2040-2044,40-44,MALE,20516
2040-2044,55-59,MALE,3853
2045-2049,55-59,FEMALE,-3343
2045-2049,15-19,MALE,9089
2070-2074,10-14,MALE,8875
2075-2079,60-64,MALE,352
2080-2084,20-24,FEMALE,10322
2060-2064,35-39,FEMALE,17576
2085-2089,85+,MALE,187
2060-2064,35-39,FEMALE,17693
2040-2044,70-74,FEMALE,-1460
2065-2069,25-29,FEMALE,16776
2090-2094,60-64,FEMALE,-4498
2095-2099,25-29,MALE,28499
2035-2039,15-19,FEMALE,6577
2050-2054,5-9,FEMALE,5502
2030-2034,55-59,MALE,6250
2030-2034,45-49,FEMALE,-1556
2030-2034,60-64,FEMALE,-1237
2055-2059,80-84,MALE,-1421
2060-2064,5-9,FEMALE,5155
2050-2054,85+,MALE,21
2080-2084,55-59,FEMALE,-4014
2090-2094,50-54,MALE,2543
2090-2094,75-79,MALE,-4980
2095-2099,75-79,MALE,-5786
,20-24,MALE,16227
2040-2044,80-84,MALE,-863
2055-2059,10-14,MALE,7488
2045-2049,80-84,FEMALE,-595
2025-2029,25-29,FEMALE,4368
2080-2084,50-54,FEMALE,-4175
2045-2049,35-39,MALE,22635
2045-2049,0-4,FEMALE,4315
2025-2029,25-29,FEMALE,6151
2030-2034,75-79,MALE,-79
2040-2044,45-49,FEMALE,344
2035-2039,30-34,MALE,25286
2080-2084,5-9,MALE,7500
,45-49,FEMALE,4827
2090-2094,65-69,MALE,-2950
2065-2069,15-19,MALE,10459
2065-2069,80-84,FEMALE,-865
2055-2059,50-54,MALE,2402
2075-2079,55-59,FEMALE,-4256
2035-2039,20-24,MALE,15385
2060-2064,25-29,MALE,27369
2070-2074,80-84,MALE,-3776
2075-2079,20-24,MALE,16345
2045-2049,85+,MALE,77
2030-2034,80-84,FEMALE,-28
2045-2049,55-59,MALE,3087
2025-2029,55-59,MALE,4286
2045-2049,70-74,MALE,311
2065-2069,85+,MALE,283
2055-2059,85+,MALE,58
2045-2049,65-69,MALE,-567
2045-2049,60-64,FEMALE,-3029
2065-2069,10-14,FEMALE,5912
2030-2034,5-9,MALE,4479
2060-2064,45-49,FEMALE,2933
2070-2074,85+,MALE,29
2060-2064,20-24,FEMALE,13521
2045-2049,85+,FEMALE,333
2055-2059,0-4,MALE,4840
2080-2084,85+,MALE,188
2055-2059,40-44,MALE,20527
2035-2039,45-49,MALE,8015
2045-2049,20-24,MALE,18930
2050-2054,50-54,MALE,1324
2030-2034,85+,MALE,355
2065-2069,65-69,MALE,-1356
2022-2024,30-34,FEMALE,40271
2040-2044,45-49,MALE,5166
2045-2049,80-84,MALE,-1211
2050-2054,30-34,MALE,27009
2040-2044,25-29,FEMALE,17472
2050-2054,80-84,FEMALE,-943
2030-2034,70-74,MALE,1258
2070-2074,15-19,MALE,13186
2080-2084,25-29,MALE,24437
2085-2089,65-69,MALE,-3135
2095-2099,5-9,MALE,7233
2075-2079,85+,FEMALE,388
2095-2099,75-79,FEMALE,-3714
2060-2064,85+,FEMALE,356
2070-2074,75-79,FEMALE,-3460
2095-2099,10-14,FEMALE,5966
2070-2074,80-84,FEMALE,-2125
2025-2029,5-9,MALE,2188
2080-2084,40-44,MALE,20557
2055-2059,85+,FEMALE,300
2040-2044,30-34,MALE,26507
2045-2049,10-14,MALE,8011
2095-2099,85+,MALE,17
2025-2029,55-59,MALE,4962
2080-2084,25-29,FEMALE,18917
2070-2074,65-69,MALE,-1107
2090-2094,20-24,MALE,16276
2050-2054,15-19,FEMALE,8155
2022-2024,75-79,MALE,1341
2045-2049,45-49,MALE,3302
2025-2029,40-44,FEMALE,6091
2090-2094,40-44,MALE,15433
2050-2054,55-59,MALE,2584
2030-2034,50-54,MALE,4092
2085-2089,60-64,FEMALE,-4246
2095-2099,70-74,FEMALE,-3894
2055-2059,85+,MALE,-883
2060-2064,85+,MALE,219
2030-2034,85+,MALE,266
2035-2039,85+,FEMALE,170
2065-2069,75-79,MALE,-4061
2065-2069,70-74,MALE,-3510
2070-2074,5-9,FEMALE,5710
2025-2029,85+,MALE,24
2090-2094,35-39,FEMALE,16933
2050-2054,20-24,FEMALE,13390
2045-2049,60-64,MALE,1548
2075-2079,0-4,FEMALE,4883
2045-2049,65-69,FEMALE,-2302
