"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"10-14 years","10-14","Female","F","Georgia","13",45,358519,12.6
,"10-14 years","10-14","Female","F","Hawaii","15",Suppressed,40646,Suppressed
,"10-14 years","10-14","Female","F","Idaho","16",15,66836,Unreliable
,"10-14 years","10-14","Female","F","Illinois","17",36,381310,9.4
,"10-14 years","10-14","Female","F","Indiana","18",35,220395,15.9
,"10-14 years","10-14","Female","F","Iowa","19",11,100998,Unreliable
,"10-14 years","10-14","Female","F","Kansas","20",12,98160,Unreliable
,"10-14 years","10-14","Female","F","Kentucky","21",24,139352,17.2
,"10-14 years","10-14","Female","F","Louisiana","22",32,146011,21.9
,"10-14 years","10-14","Female","F","Maine","23",Suppressed,34794,Suppressed
,"10-14 years","10-14","Female","F","Maryland","24",30,189887,15.8
,"10-14 years","10-14","Female","F","Massachusetts","25",17,186492,Unreliable
,"10-14 years","10-14","Female","F","Michigan","26",37,294458,12.6
,"10-14 years","10-14","Female","F","Minnesota","27",34,181666,18.7
,"10-14 years","10-14","Female","F","Mississippi","28",22,94526,23.3
,"10-14 years","10-14","Female","F","Missouri","29",29,190257,15.2
,"10-14 years","10-14","Female","F","Montana","30",10,33165,Unreliable
,"10-14 years","10-14","Female","F","Nebraska","31",10,66426,Unreliable
,"10-14 years","10-14","Female","F","Nevada","32",23,96452,23.8
,"10-14 years","10-14","Female","F","New Hampshire","33",Suppressed,35525,Suppressed
,"10-14 years","10-14","Female","F","New Jersey","34",28,279660,10.0
,"10-14 years","10-14","Female","F","New Mexico","35",10,65624,Unreliable
,"10-14 years","10-14","Female","F","New York","36",66,545440,12.1
,"10-14 years","10-14","Female","F","North Carolina","37",53,324484,16.3
,"10-14 years","10-14","Female","F","North Dakota","38",Suppressed,25068,Suppressed
,"10-14 years","10-14","Female","F","Ohio","39",49,357176,13.7
,"10-14 years","10-14","Female","F","Oklahoma","40",28,135836,20.6
,"10-14 years","10-14","Female","F","Oregon","41",Suppressed,118400,Suppressed
,"10-14 years","10-14","Female","F","Pennsylvania","42",32,367404,8.7
,"10-14 years","10-14","Female","F","Rhode Island","44",Suppressed,27884,Suppressed
,"10-14 years","10-14","Female","F","South Carolina","45",30,161257,18.6
,"10-14 years","10-14","Female","F","South Dakota","46",Suppressed,30427,Suppressed
,"10-14 years","10-14","Female","F","Tennessee","47",30,215521,13.9
,"10-14 years","10-14","Female","F","Texas","48",142,1055726,13.5
,"10-14 years","10-14","Female","F","Utah","49",18,131937,Unreliable
,"10-14 years","10-14","Female","F","Vermont","50",Suppressed,16073,Suppressed
,"10-14 years","10-14","Female","F","Virginia","51",35,259440,13.5
,"10-14 years","10-14","Female","F","Washington","53",35,230523,15.2
,"10-14 years","10-14","Female","F","West Virginia","54",Suppressed,49997,Suppressed
,"10-14 years","10-14","Female","F","Wisconsin","55",17,175749,Unreliable
,"10-14 years","10-14","Female","F","Wyoming","56",Suppressed,18566,Suppressed
,"10-14 years","10-14","Male","M","Alabama","01",49,163450,30.0
,"10-14 years","10-14","Male","M","Alaska","02",Suppressed,25906,Suppressed
,"10-14 years","10-14","Male","M","Arizona","04",62,232741,26.6
,"10-14 years","10-14","Male","M","Arkansas","05",36,102565,35.1
,"10-14 years","10-14","Male","M","California","06",163,1252666,13.0
,"10-14 years","10-14","Male","M","Colorado","08",37,178789,20.7
,"10-14 years","10-14","Male","M","Connecticut","09",Suppressed,105893,Suppressed
,"10-14 years","10-14","Male","M","Delaware","10",Suppressed,30939,Suppressed
,"10-14 years","10-14","Male","M","District of Columbia","11",Suppressed,16748,Suppressed
,"10-14 years","10-14","Male","M","Florida","12",140,636768,22.0
,"10-14 years","10-14","Male","M","Georgia","13",92,372810,24.7
,"10-14 years","10-14","Male","M","Hawaii","15",Suppressed,42974,Suppressed
,"10-14 years","10-14","Male","M","Idaho","16",12,69822,Unreliable
,"10-14 years","10-14","Male","M","Illinois","17",90,400158,22.5
,"10-14 years","10-14","Male","M","Indiana","18",47,231926,20.3
,"10-14 years","10-14","Male","M","Iowa","19",16,106209,Unreliable
,"10-14 years","10-14","Male","M","Kansas","20",24,103213,23.3
,"10-14 years","10-14","Male","M","Kentucky","21",36,148025,24.3
,"10-14 years","10-14","Male","M","Louisiana","22",41,152527,26.9
,"10-14 years","10-14","Male","M","Maine","23",12,36833,Unreliable
,"10-14 years","10-14","Male","M","Maryland","24",39,198629,19.6
,"10-14 years","10-14","Male","M","Massachusetts","25",24,196269,12.2
,"10-14 years","10-14","Male","M","Michigan","26",64,310177,20.6
,"10-14 years","10-14","Male","M","Minnesota","27",25,191009,13.1
,"10-14 years","10-14","Male","M","Mississippi","28",30,98357,30.5
,"10-14 years","10-14","Male","M","Missouri","29",53,200975,26.4
,"10-14 years","10-14","Male","M","Montana","30",Suppressed,35261,Suppressed
,"10-14 years","10-14","Male","M","Nebraska","31",12,70199,Unreliable
,"10-14 years","10-14","Male","M","Nevada","32",18,101505,Unreliable
,"10-14 years","10-14","Male","M","New Hampshire","33",Suppressed,37680,Suppressed
,"10-14 years","10-14","Male","M","New Jersey","34",39,292585,13.3
,"10-14 years","10-14","Male","M","New Mexico","35",17,68190,Unreliable
,"10-14 years","10-14","Male","M","New York","36",80,575054,13.9
,"10-14 years","10-14","Male","M","North Carolina","37",81,338066,24.0
,"10-14 years","10-14","Male","M","North Dakota","38",11,26138,Unreliable
,"10-14 years","10-14","Male","M","Ohio","39",84,375774,22.4
,"10-14 years","10-14","Male","M","Oklahoma","40",40,142284,28.1
,"10-14 years","10-14","Male","M","Oregon","41",23,124752,18.4
,"10-14 years","10-14","Male","M","Pennsylvania","42",72,386477,18.6
,"10-14 years","10-14","Male","M","Rhode Island","44",Suppressed,29512,Suppressed
,"10-14 years","10-14","Male","M","South Carolina","45",49,166646,29.4
