GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
28,25-29,MALE,257.3
29,25-29,FEMALE,80.9
29,25-29,MALE,217.6
30,25-29,FEMALE,78.0
30,25-29,MALE,173.3
31,25-29,FEMALE,60.5
31,25-29,MALE,130.2
32,25-29,FEMALE,74.5
32,25-29,MALE,204.8
33,25-29,FEMALE,46.5
33,25-29,MALE,175.4
34,25-29,FEMALE,48.7
34,25-29,MALE,130.1
35,25-29,FEMALE,123.3
35,25-29,MALE,320.8
36,25-29,FEMALE,53.7
36,25-29,MALE,122.6
37,25-29,FEMALE,88.0
37,25-29,MALE,222.0
38,25-29,FEMALE,68.0
38,25-29,MALE,162.5
39,25-29,FEMALE,75.0
39,25-29,MALE,195.0
40,25-29,FEMALE,109.9
40,25-29,MALE,194.5
41,25-29,FEMALE,77.5
41,25-29,MALE,194.7
42,25-29,FEMALE,74.4
42,25-29,MALE,173.1
44,25-29,FEMALE,60.0
44,25-29,MALE,138.0
45,25-29,FEMALE,98.7
45,25-29,MALE,254.5
46,25-29,FEMALE,121.4
46,25-29,MALE,187.6
47,25-29,FEMALE,107.9
47,25-29,MALE,235.3
48,25-29,FEMALE,66.4
48,25-29,MALE,163.7
49,25-29,FEMALE,52.1
49,25-29,MALE,120.2
50,25-29,FEMALE,46.5
50,25-29,MALE,215.0
51,25-29,FEMALE,63.4
51,25-29,MALE,159.2
53,25-29,FEMALE,58.0
53,25-29,MALE,182.9
54,25-29,FEMALE,112.8
54,25-29,MALE,287.6
55,25-29,FEMALE,58.4
55,25-29,MALE,154.4
56,25-29,FEMALE,68.0
56,25-29,MALE,220.8
01,30-34,FEMALE,149.8
01,30-34,MALE,314.1
02,30-34,FEMALE,243.2
02,30-34,MALE,289.4
04,30-34,FEMALE,128.7
04,30-34,MALE,288.6
05,30-34,FEMALE,125.6
05,30-34,MALE,249.3
06,30-34,FEMALE,78.6
06,30-34,MALE,202.4
08,30-34,FEMALE,82.7
08,30-34,MALE,225.0
09,30-34,FEMALE,72.2
09,30-34,MALE,211.4
10,30-34,FEMALE,136.5
10,30-34,MALE,319.4
11,30-34,FEMALE,100.5
11,30-34,MALE,283.8
12,30-34,FEMALE,107.1
12,30-34,MALE,245.1
13,30-34,FEMALE,116.7
13,30-34,MALE,243.7
15,30-34,FEMALE,92.8
15,30-34,MALE,168.5
16,30-34,FEMALE,99.3
16,30-34,MALE,199.7
17,30-34,FEMALE,90.7
17,30-34,MALE,221.8
18,30-34,FEMALE,114.7
18,30-34,MALE,247.3
19,30-34,FEMALE,84.2
19,30-34,MALE,178.6
20,30-34,FEMALE,108.4
20,30-34,MALE,245.4
21,30-34,FEMALE,147.0
21,30-34,MALE,278.5
22,30-34,FEMALE,150.2
22,30-34,MALE,356.1
23,30-34,FEMALE,99.3
23,30-34,MALE,223.5
24,30-34,FEMALE,104.2
24,30-34,MALE,241.5
25,30-34,FEMALE,79.2
25,30-34,MALE,172.1
26,30-34,FEMALE,117.3
26,30-34,MALE,230.7
27,30-34,FEMALE,95.2
27,30-34,MALE,179.6
28,30-34,FEMALE,141.2
28,30-34,MALE,340.4
29,30-34,FEMALE,133.5
29,30-34,MALE,277.8
30,30-34,FEMALE,126.8
30,30-34,MALE,277.3
31,30-34,FEMALE,90.6
31,30-34,MALE,198.3
32,30-34,FEMALE,113.4
32,30-34,MALE,257.6
33,30-34,FEMALE,86.2
33,30-34,MALE,209.9
34,30-34,FEMALE,79.8
34,30-34,MALE,185.3
35,30-34,FEMALE,229.2
35,30-34,MALE,431.8
36,30-34,FEMALE,80.2
36,30-34,MALE,174.5
37,30-34,FEMALE,131.0
37,30-34,MALE,293.2
38,30-34,FEMALE,141.3
38,30-34,MALE,228.8
39,30-34,FEMALE,124.7
39,30-34,MALE,252.9
40,30-34,FEMALE,132.8
40,30-34,MALE,315.7
41,30-34,FEMALE,88.4
41,30-34,MALE,274.3
42,30-34,FEMALE,98.7
42,30-34,MALE,220.5
44,30-34,FEMALE,56.7
44,30-34,MALE,172.8
45,30-34,FEMALE,144.2
45,30-34,MALE,304.3
46,30-34,FEMALE,118.3
46,30-34,MALE,228.0
47,30-34,FEMALE,150.8
47,30-34,MALE,347.0
48,30-34,FEMALE,82.5
48,30-34,MALE,200.8
49,30-34,FEMALE,53.3
49,30-34,MALE,168.7
50,30-34,FEMALE,100.6
50,30-34,MALE,296.5
51,30-34,FEMALE,99.4
51,30-34,MALE,209.2
53,30-34,FEMALE,94.3
53,30-34,MALE,219.1
54,30-34,FEMALE,218.3
54,30-34,MALE,341.5
55,30-34,FEMALE,95.1
55,30-34,MALE,225.0
56,30-34,FEMALE,84.9
56,30-34,MALE,240.3
01,35-39,FEMALE,222.3
01,35-39,MALE,445.2
02,35-39,FEMALE,237.8
02,35-39,MALE,413.2
04,35-39,FEMALE,145.9
04,35-39,MALE,356.3
05,35-39,FEMALE,188.7
