ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,MIGRATION_RATE
04,08,60_TO_64,0.0008768269428847606
04,08,65_TO_74,0.0003531547072296541
04,08,75_AND_OVER,0.0006495042890479659
04,09,0_TO_4,0.00014982654695909736
04,09,18_TO_19,0.00035061346399528425
04,09,20_TO_24,0.00018606907134808087
04,09,25_TO_34,0.00016475338336871016
04,09,35_TO_44,0.00031437032344146715
04,09,45_TO_54,4.639405204460967e-05
04,09,55_TO_59,1.739644764539081e-05
04,09,5_TO_17,0.00010708851785106567
04,09,60_TO_64,0.00027202763589497095
04,09,75_AND_OVER,7.654871978065312e-05
04,10,18_TO_19,0.00012052337824837896
04,10,20_TO_24,2.0906637230121445e-05
04,10,25_TO_34,2.8211195782313387e-05
04,10,35_TO_44,3.239694172870081e-05
04,10,45_TO_54,1.4275092936802974e-05
04,10,5_TO_17,1.4334683491874933e-05
04,11,0_TO_4,2.3050237993707286e-05
04,11,18_TO_19,0.00033417845787050526
04,11,20_TO_24,8.780787636651008e-05
04,11,25_TO_34,1.241292614421789e-05
04,11,35_TO_44,2.279784788315983e-05
04,11,45_TO_54,9.516728624535317e-06
04,11,75_AND_OVER,0.00011598290875856534
04,12,0_TO_4,0.0006684569018175113
04,12,18_TO_19,0.0011230587518598948
04,12,20_TO_24,0.0008509001352659429
04,12,25_TO_34,0.00158885454645989
04,12,35_TO_44,0.0007811262616808974
04,12,45_TO_54,0.0006471375464684014
04,12,55_TO_59,0.0009145561047862598
04,12,5_TO_17,0.00047810385528782864
04,12,60_TO_64,0.0006576202071635705
04,12,65_TO_74,0.0006333014701762548
04,12,75_AND_OVER,0.0006355863399969381
04,13,0_TO_4,0.00045408968847603353
04,13,18_TO_19,0.0012928871484826105
04,13,20_TO_24,0.0004348580543865261
04,13,25_TO_34,0.0006759402509442287
04,13,35_TO_44,0.00042116024247311056
04,13,45_TO_54,0.0002569516728624535
04,13,55_TO_59,0.00010686389267882926
04,13,5_TO_17,0.0002816343697815428
04,13,60_TO_64,0.00033013062608612976
04,13,65_TO_74,0.00015790090275172034
04,13,75_AND_OVER,3.0155556277226988e-05
04,15,0_TO_4,0.00022819735613770212
04,15,18_TO_19,0.0012216687886085684
04,15,20_TO_24,0.0007003723472090685
04,15,25_TO_34,0.0006601419813061332
04,15,35_TO_44,0.0002015809707563606
04,15,45_TO_54,0.00020223048327137547
04,15,55_TO_59,1.9881654451875212e-05
04,15,5_TO_17,0.00013069858477885967
04,15,60_TO_64,0.00024297614079939151
04,15,65_TO_74,5.602935258932013e-05
04,15,75_AND_OVER,3.47948726275696e-05
04,16,0_TO_4,0.0003572786889024629
04,16,18_TO_19,0.0008327069769888001
04,16,20_TO_24,0.0009345266841864286
04,16,25_TO_34,0.0003791584713142919
04,16,35_TO_44,0.00026757474094445485
04,16,45_TO_54,3.0929368029739776e-05
04,16,55_TO_59,6.461537696859445e-05
04,16,5_TO_17,0.0001509357850026831
04,16,60_TO_64,7.130821523460403e-05
04,16,65_TO_74,0.0001918580861391871
04,16,75_AND_OVER,2.783589810205568e-05
04,17,0_TO_4,0.000525545426256526
04,17,18_TO_19,0.0015887172587286317
04,17,20_TO_24,0.0018418747399736994
04,17,25_TO_34,0.0012525770927347144
04,17,35_TO_44,0.000543548689003758
04,17,45_TO_54,0.0004413382899628253
04,17,55_TO_59,0.00021372778535765853
04,17,5_TO_17,0.00044353197157213025
04,17,60_TO_64,0.0003591821211817092
04,17,65_TO_74,0.000156203043582347
04,17,75_AND_OVER,0.00032243248634881164
04,18,0_TO_4,0.00016826673735406317
04,18,18_TO_19,0.0011230587518598948
04,18,20_TO_24,0.00038677278875724676
04,18,25_TO_34,0.0003080662579428622
