year,age,sex,immigration_status,migration_flow,number_of_people
2021,33,female,OFN,emigration,3717.0
2021,33,female,OFN,immigration,12920.0
2021,33,male,INA Nonimmigrant,emigration,1734.0
2021,33,male,INA Nonimmigrant,immigration,3175.0
2021,33,male,LPR+,emigration,534.0
2021,33,male,LPR+,immigration,13053.0
2021,33,male,OFN,emigration,4857.0
2021,33,male,OFN,immigration,16182.0
2021,34,female,INA Nonimmigrant,emigration,1361.0
2021,34,female,INA Nonimmigrant,immigration,1706.0
2021,34,female,LPR+,emigration,903.0
2021,34,female,LPR+,immigration,8614.0
2021,34,female,OFN,emigration,3665.0
2021,34,female,OFN,immigration,12414.0
2021,34,male,INA Nonimmigrant,emigration,1778.0
2021,34,male,INA Nonimmigrant,immigration,3088.0
2021,34,male,LPR+,emigration,547.0
2021,34,male,LPR+,immigration,13402.0
2021,34,male,OFN,emigration,4980.0
2021,34,male,OFN,immigration,15651.0
2021,35,female,INA Nonimmigrant,emigration,502.0
2021,35,female,INA Nonimmigrant,immigration,1589.0
2021,35,female,LPR+,emigration,754.0
2021,35,female,LPR+,immigration,8855.0
2021,35,female,OFN,emigration,3867.0
2021,35,female,OFN,immigration,11874.0
2021,35,male,INA Nonimmigrant,emigration,685.0
2021,35,male,INA Nonimmigrant,immigration,2987.0
2021,35,male,LPR+,emigration,603.0
2021,35,male,LPR+,immigration,13695.0
2021,35,male,OFN,emigration,4977.0
2021,35,male,OFN,immigration,15045.0
2021,36,female,INA Nonimmigrant,emigration,469.0
2021,36,female,INA Nonimmigrant,immigration,1472.0
2021,36,female,LPR+,emigration,705.0
2021,36,female,LPR+,immigration,9055.0
2021,36,female,OFN,emigration,3617.0
2021,36,female,OFN,immigration,11234.0
2021,36,male,INA Nonimmigrant,emigration,634.0
2021,36,male,INA Nonimmigrant,immigration,2878.0
2021,36,male,LPR+,emigration,558.0
2021,36,male,LPR+,immigration,13924.0
2021,36,male,OFN,emigration,4607.0
2021,36,male,OFN,immigration,14320.0
2021,37,female,INA Nonimmigrant,emigration,521.0
2021,37,female,INA Nonimmigrant,immigration,1360.0
2021,37,female,LPR+,emigration,783.0
2021,37,female,LPR+,immigration,9196.0
2021,37,female,OFN,emigration,4014.0
2021,37,female,OFN,immigration,10509.0
2021,37,male,INA Nonimmigrant,emigration,674.0
2021,37,male,INA Nonimmigrant,immigration,2764.0
2021,37,male,LPR+,emigration,593.0
2021,37,male,LPR+,immigration,14078.0
2021,37,male,OFN,emigration,4897.0
2021,37,male,OFN,immigration,13451.0
2021,38,female,INA Nonimmigrant,emigration,543.0
2021,38,female,INA Nonimmigrant,immigration,1255.0
2021,38,female,LPR+,emigration,816.0
2021,38,female,LPR+,immigration,9251.0
2021,38,female,OFN,emigration,4185.0
2021,38,female,OFN,immigration,9804.0
2021,38,male,INA Nonimmigrant,emigration,709.0
