GEOID,SEX,2029,AGE_GROUP,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
44,FEMALE,24409.643448385068,0-4,24456.758012323608,24661.034549603497,24344.34521398161,22718.375526271284,21142.1436507859,20077.77483089349,19409.87131847555,19150.518159272706,19040.240933491554,18705.483715917235,18048.091998925178,17300.54627137995,16702.42748743577
44,MALE,25630.12562580829,0-4,25679.59591795342,25894.08628213918,25561.562479671276,23854.29430724211,22199.25083765933,21081.663576554103,20380.36488837835,20108.044071162192,19992.25298406938,19640.757905547718,18950.496602571293,18165.573588495557,17537.54886523155
45,FEMALE,141903.35095371798,0-4,139854.14513449493,139577.72854668213,138435.39057095486,133711.93599531628,127841.83656124413,122955.48925980208,119797.62353017188,118086.3471297032,116740.10179364368,114560.84724287214,111305.25574203458,107733.51806137455,104708.52572063018
45,MALE,148998.51853049404,0-4,146846.85241988976,146556.61500262967,145357.16012788183,140397.532822493,134233.9284155139,129103.26374799803,125787.50473123897,123990.66451039605,122577.10690725758,120288.88962850069,116870.51855195386,113120.19398652861,109943.9520281269
46,FEMALE,27381.069288693412,0-4,27483.280529751584,28156.30653816389,28479.287710353074,28037.321973482423,27061.175663354745,25965.247392868103,25395.815901920232,25452.139055735297,25692.46281997267,25625.8273667698,25109.799891842013,24350.69407904722,23691.191193320832
46,MALE,28750.1227587412,0-4,28857.444561873224,29564.121870844123,29903.25210170898,29439.18807790419,28414.234452070017,27263.50976783438,26665.60670222238,26724.746013739747,26977.08596623825,26907.118740361577,26365.289891581615,25568.22878799147,24875.75075784356
47,FEMALE,200288.83543192747,0-4,192616.8721498071,185084.96911936582,178555.6691288435,172154.02413432248,166176.70482473166,160361.68802912097,155006.39360722795,150326.77228413642,146032.8766516054,141723.19729002722,137296.73362394853,132952.0557909365,128947.91725276035
47,MALE,210303.27724458303,0-4,202247.71579678386,194339.2176132765,187483.45262188953,180761.72537633017,174485.5401000344,168379.77246345114,162756.71331936563,157843.1109291602,153334.52051412236,148809.3571835818,144161.57033329178,139599.65860773844,135395.31314183268
48,FEMALE,960173.3206657775,0-4,970177.6346992804,984509.555188348,997237.0793147607,996989.3434260611,986931.8274131813,977398.8717976798,976427.1002635162,983920.3841683151,993415.2317341103,998153.4979622939,996268.5578113128,990915.4390801094,986838.6719153097
48,MALE,1008181.9868959018,0-4,1018686.5166331306,1033735.0331495897,1047098.9334849322,1046838.8108017466,1036278.4189861611,1026268.8155879303,1025248.4554768594,1033116.4035784344,1043085.9935244658,1048061.1730650299,1046081.9859061133,1040461.2112372521,1036180.6057133769
49,FEMALE,112394.68082226896,0-4,119288.12827332623,123943.24021975785,123436.36828460442,118689.57254683727,112813.86404754088,108857.80827090319,108500.5583176897,110392.78275966282,111655.28730164142,110579.42083054686,107593.2868461842,104364.3762604394,102381.27068969335
49,MALE,118014.4148864233,0-4,125252.5347114466,130140.40225615408,129608.18672413906,124624.05119851047,118454.55727304475,114300.69870676417,113925.58625581679,115912.42192027645,117238.0516896128,116108.39189474296,112972.95121055,109582.59509485603,107500.33424516616
50,FEMALE,12280.027054644326,0-4,12569.682305227598,13263.504186678456,13504.961585459143,12746.827240025837,11688.051557269497,10865.194719503228,10414.966553332755,10341.451253172369,10405.943895266744,10308.581713965612,9954.95639994255,9480.359032896766,9071.314378267296
50,MALE,12894.028409893943,0-4,13198.166423065759,13926.679398731394,14180.209667500612,13384.168604640226,12272.45413752902,11408.454457705751,10935.714883134458,10858.523817950983,10926.241092163296,10824.01080177715,10452.70422198044,9954.376986485076,9524.880099040278
51,FEMALE,230900.06537200106,0-4,229045.06472065544,228348.67158235426,227145.50505938174,222250.36101846822,215633.67301495146,208928.4208854095,204131.34644826088,201911.00767820905,200859.05825308373,199048.41512777976,195747.17358219897,191528.5421031337,187489.7597364952
51,MALE,242445.0686879356,0-4,240497.3180036424,239766.1052082834,238502.7803589156,233362.87911495293,226415.35670990386,219374.8419725102,214337.91381252077,212006.55810351123,210902.01120691394,209000.83592497365,205534.53230143705,201104.9692475537,196864.24776175537
53,FEMALE,204660.78208624345,0-4,197590.2080708739,189571.880278325,185095.93797848074,182023.67862258627,177778.15668222884,172496.43547368931,168149.05654032523,165090.03033092155,162652.5063866947,160298.07184495276,157684.31269134735,154684.9454609269,151693.8919178232
53,MALE,214893.82123251102,0-4,207469.71851492353,199050.47433110344,194350.7349153494,191124.86259103043,186667.06455278475,181121.25728273552,176556.509401812,173344.53188131104,170785.13173937317,168312.97547006147,165568.52835824,162419.19276568358,159278.58654481158
54,FEMALE,40482.400611583194,0-4,40315.78553847986,40200.68459800281,39219.491809859566,37151.72606840095,34804.59421099368,32976.40017537275,31920.625559701046,31370.501802532817,30763.71195687461,29761.129385340453,28454.624580054435,27171.42431962484,26167.664415804917
54,MALE,42506.520650461236,0-4,42331.57482366858,42210.718836144086,41180.46640839253,39009.3123794371,36544.8239286783,34625.220190901535,33516.65684422982,32939.02689909041,32301.897561024893,31249.1858607085,29877.355814890347,28529.995541176217,27476.04764195953
55,FEMALE,143542.6995574195,0-4,143882.24103306953,145185.22772263622,142248.08290583815,134707.1183851978,126095.15326325718,118072.65837713491,113134.74486315239,111474.55460152464,110486.08873296365,107833.7965952976,103262.51993605678,97990.55309090784,93382.58171893113
55,MALE,150719.8345647167,0-4,151076.35311421883,152444.48913853097,149360.48708029088,141442.47433207263,132399.9109522695,123976.29132019651,118791.4821295026,117048.28235445313,116010.39319226146,113225.4864471684,108425.64595402841,102890.08076554126,98051.71082402111
56,FEMALE,14703.772006628602,0-4,14729.649379833174,14919.218487252441,14740.121045288766,13972.783172507377,13029.679396273295,12334.670824335404,12039.225370590662,11972.15538742495,11867.732250347366,11566.60748885315,11102.825024641908,10637.3623458886,10307.279185145826
56,MALE,15438.960609974303,0-4,15466.13185184441,15665.179414673501,15477.127100574926,14671.422333997165,13681.163368758043,12951.40436808078,12641.186641588234,12570.763159250486,12461.118865297618,12144.937865666958,11657.966278150081,11169.230465363686,10822.643146516108
